REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;XL;93539;93536;02/12/2026;210;;SP204_93539_93536;3663938717357
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;XXL;93539;93537;02/12/2026;96;;SP204_93539_93537;3663938717371
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;S;94228;94223;21/01/2027;30;;SP229_94228_94223;3663639144469
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;M;94228;94224;21/01/2027;180;;SP229_94228_94224;3663639144452
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;L;94228;94225;21/01/2027;210;;SP229_94228_94225;3663639144445
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;XL;94228;94226;21/01/2027;113;;SP229_94228_94226;3663639144476
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;XXL;94228;94227;21/01/2027;69;;SP229_94228_94227;3663639144483
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;S;94229;94223;21/01/2027;48;;SP229_94229_94223;3663639144513
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;M;94229;94224;21/01/2027;216;;SP229_94229_94224;3663639144506
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;L;94229;94225;21/01/2027;239;;SP229_94229_94225;3663639144490
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;XL;94229;94226;21/01/2027;156;;SP229_94229_94226;3663639144520
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;XXL;94229;94227;21/01/2027;104;;SP229_94229_94227;3663639144537
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;S;94230;94223;21/01/2027;29;;SP229_94230_94223;3663639144568
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;M;94230;94224;21/01/2027;210;;SP229_94230_94224;3663639144551
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;L;94230;94225;21/01/2027;253;;SP229_94230_94225;3663639144544
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;XL;94230;94226;21/01/2027;144;;SP229_94230_94226;3663639144575
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;XXL;94230;94227;21/01/2027;98;;SP229_94230_94227;3663639144582
SP229;Eco-friendly men's Terry Towel polo shirt;White;S;94231;94223;21/01/2027;60;;SP229_94231_94223;3663639144612
SP229;Eco-friendly men's Terry Towel polo shirt;White;M;94231;94224;21/01/2027;206;;SP229_94231_94224;3663639144605
SP229;Eco-friendly men's Terry Towel polo shirt;White;L;94231;94225;21/01/2027;240;;SP229_94231_94225;3663639144599
SP229;Eco-friendly men's Terry Towel polo shirt;White;XL;94231;94226;21/01/2027;90;;SP229_94231_94226;3663639144629
SP229;Eco-friendly men's Terry Towel polo shirt;White;XXL;94231;94227;21/01/2027;24;;SP229_94231_94227;3663639144636
SP304;Eco-friendly ladies' oversize slub t-shirt;Black;XS;93565;93559;15/10/2026;50;;SP304_93565_93559;3663938718965
SP304;Eco-friendly ladies' oversize slub t-shirt;Black;S;93565;93560;15/10/2026;250;;SP304_93565_93560;3663938718996
SP304;Eco-friendly ladies' oversize slub t-shirt;Black;M;93565;93561;15/10/2026;350;;SP304_93565_93561;3663938719023
SP304;Eco-friendly ladies' oversize slub t-shirt;Black;L;93565;93562;15/10/2026;350;;SP304_93565_93562;3663938719054
SP304;Eco-friendly ladies' oversize slub t-shirt;Black;XL;93565;93563;15/10/2026;150;;SP304_93565_93563;3663938719085
SP304;Eco-friendly ladies' oversize slub t-shirt;White;XS;93566;93559;15/10/2026;400;;SP304_93566_93559;3663938718972
SP304;Eco-friendly ladies' oversize slub t-shirt;White;S;93566;93560;15/10/2026;650;;SP304_93566_93560;3663938719009
SP304;Eco-friendly ladies' oversize slub t-shirt;White;M;93566;93561;15/10/2026;400;;SP304_93566_93561;3663938719030
SP304;Eco-friendly ladies' oversize slub t-shirt;White;L;93566;93562;15/10/2026;153;;SP304_93566_93562;3663938719061
SP304;Eco-friendly ladies' oversize slub t-shirt;White;XL;93566;93563;15/10/2026;151;;SP304_93566_93563;3663938719092
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Black;S;96264;96258;21/09/2026;796;;SP403_96264_96258;3663639145152
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Black;L;96264;96260;21/09/2026;1150;;SP403_96264_96260;3663639145138
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Black;XL;96264;96261;21/09/2026;580;;SP403_96264_96261;3663639145169
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Black;XXL;96264;96262;21/09/2026;223;;SP403_96264_96262;3663639145183
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Black;3XL;96264;96263;21/09/2026;140;;SP403_96264_96263;3663639145121
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Forest Khaki;XS;96265;96257;21/09/2026;190;;SP403_96265_96257;3663639148832
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Forest Khaki;M;96265;96259;21/09/2026;990;;SP403_96265_96259;3663639148801
