REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP217;Men's knitted linen polo shirt;Linen Sand;L;89392;89388;99;;SP217_89392_89388;3663938622026
SP217;Men's knitted linen polo shirt;Linen Sand;XL;89392;89389;79;;SP217_89392_89389;3663938622057
SP217;Men's knitted linen polo shirt;Linen Sand;XXL;89392;89390;64;;SP217_89392_89390;3663938622088
SP217;Men's knitted linen polo shirt;Linen Sand;3XL;89392;89391;43;;SP217_89392_89391;3663938622118
SP217;Men's knitted linen polo shirt;Navy Blue;S;89393;89386;23;;SP217_89393_89386;3663938621975
SP217;Men's knitted linen polo shirt;Navy Blue;M;89393;89387;135;;SP217_89393_89387;3663938622002
SP217;Men's knitted linen polo shirt;Navy Blue;L;89393;89388;138;;SP217_89393_89388;3663938622033
SP217;Men's knitted linen polo shirt;Navy Blue;XL;89393;89389;140;;SP217_89393_89389;3663938622064
SP217;Men's knitted linen polo shirt;Navy Blue;XXL;89393;89390;71;;SP217_89393_89390;3663938622095
SP217;Men's knitted linen polo shirt;Navy Blue;3XL;89393;89391;48;;SP217_89393_89391;3663938622125
SP217;Men's knitted linen polo shirt;Organic Khaki;S;89394;89386;22;;SP217_89394_89386;3663938621982
SP217;Men's knitted linen polo shirt;Organic Khaki;M;89394;89387;137;;SP217_89394_89387;3663938622019
SP217;Men's knitted linen polo shirt;Organic Khaki;L;89394;89388;162;;SP217_89394_89388;3663938622040
SP217;Men's knitted linen polo shirt;Organic Khaki;XL;89394;89389;116;;SP217_89394_89389;3663938622071
SP217;Men's knitted linen polo shirt;Organic Khaki;XXL;89394;89390;69;;SP217_89394_89390;3663938622101
SP217;Men's knitted linen polo shirt;Organic Khaki;3XL;89394;89391;51;;SP217_89394_89391;3663938622132
SP220;Men’s linen polo shirt;Black;S;92025;92019;257;;SP220_92025_92019;3663938677774
SP220;Men’s linen polo shirt;Black;M;92025;92020;418;;SP220_92025_92020;3663938677866
SP220;Men’s linen polo shirt;Black;L;92025;92021;512;;SP220_92025_92021;3663938677958
SP220;Men’s linen polo shirt;Black;XL;92025;92022;350;;SP220_92025_92022;3663938678047
